 male Agent 
x = X, y = Y, z = Z, h = holdingStatus, pi = PickupIndex, di = DropOffIndex
       states                       actions                 
 x, y, z,  h,   pi, di     North      East     South      west        Up      Down
(0, 0, 0, False, 0, 0)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 1)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 2)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 3)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 4)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 5)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 6)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 7)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 8)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 9)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 10)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 11)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 12)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 13)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 14)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 0, 15)     0.902     1.441     0.000     0.000     1.513     0.000
(0, 0, 0, False, 1, 0)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 1)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 2)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 3)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 4)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 5)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 6)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 7)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 8)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 9)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 10)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 11)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 12)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 13)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 14)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 1, 15)     1.720     1.442     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 0)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 1)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 2)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 3)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 4)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 5)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 6)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 7)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 8)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 9)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 10)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 11)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 12)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 13)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 14)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 2, 15)     1.529     1.555     0.000     0.000     1.555     0.000
(0, 0, 0, False, 3, 0)     2.180     2.180     0.000     0.000     1.595     0.000
(0, 0, 0, False, 3, 1)     2.180     2.180     0.000     0.000     1.595     0.000
(0, 0, 0, False, 3, 2)     2.180     2.180     0.000     0.000     1.595     0.000
(0, 0, 0, False, 3, 3)     2.180     2.180     0.000     0.000     1.595     0.000
(0, 0, 0, False, 3, 4)     2.180     2.180     0.000     0.000     1.595     0.000
(0, 0, 0, False, 3, 5)     2.180     2.180     0.000     0.000     1.595     0.000
(0, 0, 0, False, 3, 6)     2.180     2.180     0.000     0.000     1.595     0.000
(0, 0, 0, False, 3, 7)     2.180     2.180     0.000     0.000     1.595     0.000
(0, 0, 0, False, 3, 8)     2.180     2.180     0.000     0.000     1.595     0.000
