 male Agent 
x = X, y = Y, z = Z, h = holdingStatus, pi = PickupIndex, di = DropOffIndex
       states                       actions                 
 x, y, z,  h,   pi, di     North      East     South      west        Up      Down
(0, 0, 0, False, 3, 7)    -0.324    -0.459     0.000     0.000    -0.300     0.000
(0, 0, 0, False, 3, 8)    -0.324    -0.459     0.000     0.000    -0.300     0.000
(0, 0, 0, False, 3, 9)    -0.324    -0.459     0.000     0.000    -0.300     0.000
(0, 0, 0, False, 3, 10)    -0.324    -0.459     0.000     0.000    -0.300     0.000
(0, 0, 0, False, 3, 11)    -0.324    -0.459     0.000     0.000    -0.300     0.000
(0, 0, 0, False, 3, 12)    -0.324    -0.459     0.000     0.000    -0.300     0.000
(0, 0, 0, False, 3, 13)    -0.324    -0.459     0.000     0.000    -0.300     0.000
(0, 0, 0, False, 3, 14)    -0.324    -0.459     0.000     0.000    -0.300     0.000
(0, 0, 0, False, 3, 15)    -0.324    -0.459     0.000     0.000    -0.300     0.000
(0, 0, 0, True, 0, 0)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 1)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 2)    -0.300     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 3)    -0.300     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 4)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 5)    -0.300    -0.300     0.000     0.000     0.866     0.000
(0, 0, 0, True, 0, 6)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 7)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 8)    -0.300    -0.300     0.000     0.000    -0.300     0.000
(0, 0, 0, True, 0, 9)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 10)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 11)    -0.300     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 12)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 13)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 14)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 0, 15)    -0.510     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 0)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 1)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 2)    -0.300     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 3)    -0.300     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 4)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 5)    -0.300    -0.300     0.000     0.000     0.866     0.000
(0, 0, 0, True, 1, 6)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 7)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 8)    -0.300    -0.300     0.000     0.000    -0.300     0.000
(0, 0, 0, True, 1, 9)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 10)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 11)    -0.300     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 12)     0.000     0.000     0.000     0.000     0.000     0.000
(0, 0, 0, True, 1, 13)     0.000     0.000     0.000     0.000     0.000     0.000
